A,B,Y_pred,Y_reel,erreur_Y,classe_pred,classe_reelle,classe_ok
2.0539513554725666,11.0,15,15,0,3,1,False
2.833069456432596,20.0,25,25,0,3,1,False
0.5038091878171259,19.0,20,20,0,3,1,False
1.606601985606264,19.0,22,22,0,3,3,True
3.531728427999128,24.0,30,30,0,2,2,True
5.073802259120912,10.0,18,18,0,1,3,False
1.0977817982356433,17.0,19,19,0,3,1,False
7.51154105601433,31.0,43,43,0,2,3,False
1.8980729298560344,25.0,28,28,0,2,3,False
2.544822134920281,11.0,15,15,0,3,1,False
3.061503229116072,10.0,15,15,0,3,2,False
2.600787084865276,18.0,22,22,0,3,1,False
2.768322829268741,20.0,25,25,0,3,2,False
5.755032010956089,25.0,34,34,0,2,3,False
1.5726487242434577,40.0,43,43,0,2,3,False
1.0674867654166325,26.0,28,28,0,3,2,False
1.3844867838651989,28.0,31,31,0,2,2,True
2.960918285061119,28.0,33,33,0,2,3,False
5.020311170529359,28.0,36,36,0,2,3,False
0.0886680351414301,26.0,27,27,0,3,2,False
2.7046900119212043,16.0,21,21,0,3,1,False
3.6628990433993134,14.0,20,20,0,3,2,False
1.1296638634587122,13.0,15,15,0,3,1,False
0.6474836705550377,18.0,19,19,0,3,1,False
2.4309214663527143,15.0,19,19,0,3,1,False
1.721652719124754,16.0,19,19,0,3,1,False
3.975966864182944,40.0,46,46,0,2,3,False
4.26987467493921,12.0,19,19,0,1,2,False
0.5365573921538096,24.0,25,25,0,3,2,False
1.6908152686177125,17.0,20,20,0,3,1,False
7.5612455878154705,10.0,22,22,0,1,3,False
5.926118397870513,26.0,35,35,0,2,2,True
2.82734329668273,34.0,39,39,0,2,3,False
3.313517065305323,14.0,19,19,0,3,2,False
0.774457968962691,17.0,19,19,0,3,1,False
2.0221073149650395,11.0,15,15,0,3,1,False
0.8832596152235627,14.0,16,16,0,3,1,False
5.913975348246128,14.0,23,23,0,1,2,False
1.7353029230992487,18.0,21,21,0,3,2,False
0.8721191633671254,11.0,13,13,0,3,1,False
6.82083022837863,10.0,21,21,0,1,3,False
0.5128230248131779,19.0,20,20,0,3,1,False
1.505970416551663,11.0,14,14,0,3,1,False
0.8178677766198627,10.0,12,12,0,3,1,False
6.160174859901339,28.0,38,38,0,2,3,False
5.2593546896707295,26.0,34,34,0,2,2,True
0.8168149333633632,14.0,16,16,0,3,2,False
3.758077136322896,40.0,46,46,0,2,3,False
4.555027540268871,13.0,20,20,0,1,3,False
4.941885691310281,16.0,24,24,0,1,2,False
3.9123158986075706,20.0,26,26,0,1,2,False
1.5452085752722031,10.0,13,13,0,3,3,True
6.12340977167703,13.0,23,23,0,1,3,False
5.071506962829442,40.0,48,48,0,2,3,False
2.199578739992769,40.0,44,44,0,2,3,False
0.2570030073379117,12.0,13,13,0,3,2,False
0.4837266181088204,16.0,17,17,0,3,3,True
1.5197179188055343,22.0,25,25,0,3,2,False
0.990721866977854,15.0,17,17,0,3,1,False
4.304856271560568,10.0,17,17,0,1,2,False
4.8533712448319895,28.0,36,36,0,2,2,True
0.8911573346597007,19.0,21,21,0,3,1,False
0.8189140239191697,19.0,21,21,0,3,1,False
1.0358934146020573,20.0,22,22,0,3,1,False
4.317696216208711,19.0,26,26,0,1,3,False
2.6090166823602856,16.0,20,20,0,3,1,False
2.017693856100065,12.0,16,16,0,3,2,False
1.8489568027174,12.0,15,15,0,3,2,False
8.336979550136792,37.0,50,50,0,2,3,False
1.072496957198603,13.0,15,15,0,3,3,True
2.06429284905405,34.0,38,38,0,2,3,False
0.6055490815321994,16.0,17,17,0,3,1,False
0.4735668452700626,13.0,14,14,0,3,1,False
2.852330614939081,20.0,25,25,0,3,2,False
1.9482722191716475,20.0,23,23,0,3,2,False
7.146759106770186,13.0,24,24,0,1,3,False
6.824925100707231,13.0,24,24,0,1,3,False
1.2737416956036347,12.0,14,14,0,3,1,False
0.3809746145454156,13.0,14,14,0,3,3,True
1.6340049158170489,16.0,19,19,0,3,1,False
1.7305559049242405,28.0,31,31,0,2,2,True
5.367774314496005,24.0,33,33,0,2,2,True
0.5145291894449431,12.0,13,13,0,3,2,False
4.927964316870757,31.0,39,39,0,2,3,False
8.924937971393714,37.0,51,51,0,2,3,False
0.3759659624751326,10.0,11,11,0,3,1,False
1.8299721560133069,22.0,25,25,0,3,2,False
7.175278454060279,16.0,27,27,0,1,3,False
7.272238658098832,13.0,24,24,0,1,3,False
7.797131121827407,10.0,22,22,0,1,3,False
1.049890809130933,10.0,12,12,0,3,3,True
0.2899716951893654,18.0,19,19,0,3,2,False
7.645056401937572,10.0,22,22,0,1,3,False
5.625285282716445,12.0,21,21,0,1,2,False
5.105177973592117,22.0,30,30,0,1,3,False
3.53781458148309,22.0,28,28,0,2,3,False
5.858680997341953,26.0,35,35,0,2,2,True
4.439477018981827,37.0,44,44,0,2,3,False
3.631789911416609,13.0,19,19,0,3,3,True
8.857107704137483,13.0,27,27,0,1,3,False
