A,B,Y_pred,classe_ab,classe_aby
3.7454,16.0,22.1123,1,2
9.5071,26.0,40.7311,0,1
7.3199,29.0,40.4689,0,1
5.9866,38.0,47.4904,2,1
1.5602,13.0,15.8446,1,2
1.5599,39.0,41.8809,2,1
0.5808,14.0,15.3834,1,2
8.6618,32.0,45.4772,0,1
6.0112,16.0,25.4961,0,0
7.0807,22.0,33.1018,0,0
0.2058,24.0,24.8374,1,2
9.6991,20.0,35.0094,0,0
8.3244,38.0,50.9818,0,1
2.1234,13.0,16.6857,1,2
1.8182,22.0,25.2426,1,2
1.834,16.0,19.2578,1,2
3.0424,36.0,41.0906,2,1
5.2476,28.0,36.3727,0,1
4.3195,31.0,37.9908,2,1
2.9123,37.0,41.8977,2,1
6.1185,11.0,20.6493,0,0
1.3949,19.0,21.6062,1,2
2.9214,22.0,26.8902,1,2
3.6636,39.0,45.0226,2,1
4.5607,34.0,41.3553,2,1
7.8518,30.0,42.2647,0,1
1.9967,15.0,18.4993,1,2
5.1423,37.0,45.2281,2,1
5.9241,37.0,46.3957,2,1
0.4645,21.0,22.2196,1,2
6.0754,21.0,30.599,0,0
1.7052,29.0,32.0837,2,1
0.6505,39.0,40.5227,2,1
9.4889,39.0,53.7223,0,1
9.6563,20.0,34.9455,0,0
8.084,35.0,47.6185,0,1
3.0461,32.0,37.0905,2,1
0.9767,37.0,39.0071,2,1
6.8423,34.0,44.7627,0,1
4.4015,16.0,23.0921,0,0
1.2204,39.0,41.3738,2,1
4.9518,10.0,17.9055,0,0
0.3439,10.0,11.0239,1,2
9.0932,34.0,48.1243,0,1
2.5878,36.0,40.4117,2,1
6.6252,39.0,49.4455,2,1
3.1171,34.0,39.1994,2,1
5.2007,29.0,37.304,0,1
5.4671,22.0,30.692,0,0
1.8485,18.0,21.2822,1,2
9.6958,12.0,26.9932,0,0
7.7513,16.0,28.0948,0,0
9.395,15.0,29.5482,0,0
8.9483,17.0,30.8839,0,0
5.979,36.0,45.4762,2,1
9.2187,18.0,32.2891,0,0
0.8849,39.0,40.8728,2,1
1.9598,14.0,17.4428,1,2
0.4523,10.0,11.1858,1,2
3.2533,28.0,33.3943,2,1
3.8868,19.0,25.3277,1,2
2.7135,21.0,25.5783,1,2
8.2874,33.0,45.9194,0,1
3.5675,24.0,29.8579,2,1
2.8093,36.0,40.7425,2,1
5.427,31.0,39.6448,2,1
1.4092,33.0,35.6473,2,1
8.022,18.0,30.5019,0,0
0.7455,29.0,30.6505,2,1
9.8689,26.0,41.2714,0,1
7.7224,39.0,51.0841,0,1
1.9872,26.0,29.5007,2,1
0.0552,35.0,35.628,2,1
8.1546,29.0,41.7155,0,1
7.0686,21.0,32.0823,0,0
7.2901,39.0,50.4385,0,1
7.7127,16.0,28.0372,0,0
0.7404,11.0,12.6175,1,2
3.5847,12.0,17.8667,1,2
1.1587,26.0,28.2633,2,2
8.631,14.0,27.4058,0,0
6.233,26.0,35.8415,0,1
3.309,33.0,38.4845,2,1
0.6356,26.0,27.4821,2,2
3.1098,36.0,41.1913,2,1
3.2518,26.0,31.3892,2,1
7.2961,11.0,22.408,0,0
6.3756,11.0,21.0333,0,0
8.8721,37.0,50.7983,0,1
4.7221,31.0,38.5921,2,1
1.1959,32.0,34.3274,2,1
7.1324,14.0,25.1677,0,0
7.6079,10.0,21.8722,0,0
5.6128,10.0,18.8927,0,0
7.7097,28.0,40.0496,0,1
4.938,39.0,46.9258,2,1
5.2273,11.0,19.3184,0,0
4.2754,30.0,36.9236,2,1
0.2542,21.0,21.9055,1,2
1.0789,35.0,37.1569,2,1
